scenario,total_rows,team_sizes,runs_per_team_size,runs,completed,success_rate,total_steps,avg_steps_completed
MovingAI_eval/Berlin_1_256-even-1.scen,950,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/Boston_0_256-even-1.scen,950,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/brc202d-even-1.scen,2530,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/den312d-even-1.scen,290,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/den520d-even-1.scen,860,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/empty-16-16-even-1.scen,128,"5,10,15,20,25",10,50,46,0.92,24022,522.2173913043479
MovingAI_eval/empty-32-32-even-1.scen,512,"5,10,15,20,25",10,50,39,0.78,128413,3292.641025641026
MovingAI_eval/empty-48-48-even-1.scen,1152,"5,10,15,20,25",10,50,21,0.42,196060,9336.190476190477
MovingAI_eval/empty-8-8-even-1.scen,32,"5,10,15,20,25",10,50,38,0.76,67419,1774.1842105263158
MovingAI_eval/ht_chantry-even-1.scen,460,"5,10,15,20,25",10,50,1,0.02,246657,246657.0
MovingAI_eval/ht_mansion_n-even-1.scen,510,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/lak303d-even-1.scen,1040,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/lt_gallowstemplar_n-even-1.scen,620,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/maze-128-128-1-even-1.scen,2040,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/maze-128-128-10-even-1.scen,1070,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/maze-128-128-2-even-1.scen,2500,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/maze-32-32-2-even-1.scen,230,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/maze-32-32-4-even-1.scen,200,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/orz900d-even-1.scen,6820,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/ost003d-even-1.scen,810,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/Paris_1_256-even-1.scen,1030,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/random-32-32-10-even-1.scen,90,"5,10,15,20,25",10,50,1,0.02,246166,246166.0
MovingAI_eval/random-32-32-20-even-1.scen,100,"5,10,15,20,25",10,50,2,0.04,243749,121874.5
MovingAI_eval/random-64-64-10-even-1.scen,200,"5,10,15,20,25",10,50,7,0.14,235175,33596.42857142857
MovingAI_eval/random-64-64-20-even-1.scen,220,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/room-32-32-4-even-1.scen,130,"5,10,15,20,25",10,50,1,0.02,245593,245593.0
MovingAI_eval/room-64-64-16-even-1.scen,400,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/room-64-64-8-even-1.scen,310,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/w_woundedcoast-even-1.scen,1970,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/warehouse-10-20-10-2-1-even-1.scen,450,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/warehouse-10-20-10-2-2-even-1.scen,490,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/warehouse-20-40-10-2-1-even-1.scen,920,"5,10,15,20,25",10,50,0,0.0,250000,0
MovingAI_eval/warehouse-20-40-10-2-2-even-1.scen,1000,"5,10,15,20,25",10,50,0,0.0,250000,0
